"name"	"id"	"disease"
"BORCS5"	118426	"ulc"
"BORCS6"	54785	"ssc"
"BORCS7"	119032	"shared"
"BPTF"	2186	"pso"
"BRCC3"	79184	"t1d"
"BRD2"	6046	"shared"
"BRD9"	65980	"sle"
"BRD9P2"	109729114	"ulc"
"BRE"	9577	"crd"
"BRI3BP"	140707	"ulc"
"BRINP1"	1620	"sle"
"BRPF3"	27154	"shared"
"BRWD1"	54014	"pa"
"BSN"	8927	"pso"
"BSPRY"	54836	"identical"
"BTBD11"	121551	"ms"
"BTBD2"	55643	"as"
"BTBD9"	114781	"pso"
"BTD"	686	"sle"
"BTG1P1"	100129641	"sjs"
"BTG2"	7832	"shared"
"BTN2A1"	11120	"t1d"
"BTN2A2"	10385	"t1d"
"BTN2A3P"	54718	"shared"
"BTN3A1"	11119	"shared"
"BTN3A2"	11118	"shared"
"BTN3A3"	10384	"shared"
"BTNL2"	56244	"shared"
"BUB1B"	701	"sle"
"C10orf11"	83938	"shared"
"C10orf55"	414236	"shared"
"C10orf76"	79591	"sle"
"C11orf21"	29125	"ssc"
"C11orf49"	79096	"ms"
"C11orf68"	83638	"ms"
"C11orf87"	399947	"as"
"C12orf4"	57102	"pso"
"C12orf65"	91574	"ms"
"C14orf37"	145407	"pso"
"C14orf79"	122616	"shared"
"C15orf41"	84529	"ms"
"C16orf45"	89927	"identical"
"C16orf62"	57020	"shared"
"C16orf78"	123970	"pbc"
"C16orf95"	100506581	"shared"
"C17orf67"	339210	"crd"
"C18orf54"	162681	"pso"
"C19orf18"	147685	"pso"
"C19orf44"	84167	"ms"
"C19orf47"	126526	"pso"
"C19orf70"	125988	"pso"
"C1GALT1"	56913	"ms"
"C1orf106"	55765	"shared"
"C1orf112"	55732	"shared"
"C1orf132"	100128537	"shared"
"C1orf141"	400757	"shared"
"C1orf146"	388649	"sle"
"C1orf147"	574431	"pso"
"C1orf167"	284498	"ms"
"C1orf21"	81563	"ced"
"C1orf52"	148423	"ms"
"C1orf68"	100129271	"pso"
"C1QTNF2"	114898	"sle"
"C1QTNF4"	114900	"ms"
"C1QTNF6"	114904	"shared"
"C1RL"	51279	"pso"
"C2"	717	"shared"
"C20orf194"	25943	"sle"
"C22orf24"	25775	"crd"
"C22orf29"	79680	"ra"
"C2orf16"	84226	"crd"
"C2orf49"	79074	"pso"
"C2orf74"	339804	"shared"
"C2orf81"	388963	"shared"
"C2orf88"	84281	"ms"
"C3orf20"	84077	"t1d"
"C3orf58"	205428	"crd"
"C4A"	720	"shared"
